weapon_type,firearm_caliber,weapon_description,trr_report_id
Hands/Fists,,,473577
Hands/Fists,,,473607
Hands/Fists,,,474076
Hands/Fists,,,474076
Hands/Fists,,,474224
Hands/Fists,,,475708
Hands/Fists,,,475708
Hands/Fists,,,475708
Hands/Fists,,,475708
Hands/Fists,,,475992
Feet,,,475992
Hands/Fists,,,475992
Feet,,,475993
Hands/Fists,,,475993
Other (Specify),,ROCK,476167
Hands/Fists,,,476198
Feet,,,476198
"Mouth (Spit,Bite,Etc)",,,476198
Hands/Fists,,,477298
Hands/Fists,,,477298
Firearm - Semi-Automatic,,,477489
Hands/Fists,,,478007
Hands/Fists,,,478186
Hands/Fists,,,478937
Hands/Fists,,,478975
Hands/Fists,,,479005
Hands/Fists,,,479011
Feet,,,479814
Hands/Fists,,,479814
Hands/Fists,,,480101
Hands/Fists,,,480101
Feet,,,480101
Hands/Fists,,,480101
Hands/Fists,,,480101
Hands/Fists,,,480144
Feet,,,480144
Hands/Fists,,,480144
Hands/Fists,,,480144
Hands/Fists,,,480144
Hands/Fists,,,480305
Hands/Fists,,,480305
"Mouth (Spit,Bite,Etc)",,,480769
Hands/Fists,,,481176
Hands/Fists,,,481191
Other (Specify),,DOUBLE BLADED SHEARS,481537
Hands/Fists,,,482361
Hands/Fists,,,483032
Firearm - Semi-Automatic,,,483896
Firearm - Semi-Automatic,,,483914
"Mouth (Spit,Bite,Etc)",,,484184
Hands/Fists,,,484184
Hands/Fists,,,484252
"Mouth (Spit,Bite,Etc)",,,484252
Hands/Fists,,,484259
"Mouth (Spit,Bite,Etc)",,,484259
Hands/Fists,,,484261
"Mouth (Spit,Bite,Etc)",,,484261
Firearm - Semi-Automatic,,,484265
Hands/Fists,,,484277
"Mouth (Spit,Bite,Etc)",,,484277
Hands/Fists,,,484373
Firearm - Semi-Automatic,,,484447
Blunt Instrument,,,484915
Blunt Instrument,,,484968
Feet,,,484999
Firearm - Semi-Automatic,,,485296
Hands/Fists,,,485296
Hands/Fists,,,485296
Hands/Fists,,,486600
Hands/Fists,,,486600
Other (Specify),,,486600
Hands/Fists,,,486600
Hands/Fists,,,486648
Hands/Fists,,,486648
Hands/Fists,,,486648
Firearm - Revolver,,,487525
Firearm - Revolver,,,487527
Hands/Fists,,,488317
Hands/Fists,,,488455
Hands/Fists,,,488512
Hands/Fists,,,488535
Hands/Fists,,,488573
Feet,,,488573
Hands/Fists,,,488631
Feet,,,488631
Blunt Instrument,,,488646
Blunt Instrument,,,488648
Hands/Fists,,,489526
Hands/Fists,,,489593
Hands/Fists,,,489778
Hands/Fists,,,489778
Hands/Fists,,,489778
"Mouth (Spit,Bite,Etc)",,,489828
Hands/Fists,,,489828
Firearm - Semi-Automatic,,,489953
Hands/Fists,,,490245
"Mouth (Spit,Bite,Etc)",,,490254
Hands/Fists,,,490254
Hands/Fists,,,490254
Hands/Fists,,,490255
Hands/Fists,,,490255
Knife/Other Cutting Instrument,,,491098
Hands/Fists,,,491098
Feet,,,491148
Hands/Fists,,,491221
Hands/Fists,,,491233
Hands/Fists,,,491233
Hands/Fists,,,491233
Hands/Fists,,,491233
Hands/Fists,,,491261
Feet,,,492982
Blunt Instrument,,,493086
Hands/Fists,,,493100
Blunt Instrument,,,493101
Blunt Instrument,,,493103
Blunt Instrument,,,493126
Hands/Fists,,,493134
Hands/Fists,,,493895
Hands/Fists,,,493914
Other (Specify),,,494257
Knife/Other Cutting Instrument,,,494813
Knife/Other Cutting Instrument,,,494814
Firearm - Semi-Automatic,,,494815
Firearm - Semi-Automatic,,,494888
Knife/Other Cutting Instrument,,,494894
Feet,,,494894
"Mouth (Spit,Bite,Etc)",,,494894
Hands/Fists,,,494894
Knife/Other Cutting Instrument,,,494900
Hands/Fists,,,494900
"Mouth (Spit,Bite,Etc)",,,494900
Firearm - Semi-Automatic,,,494901
Firearm - Semi-Automatic,,,494904
Other (Specify),,A REPLICA PISTOL,495617
Hands/Fists,,,495617
Hands/Fists,,,495617
Hands/Fists,,,495617
Hands/Fists,,,495617
Other (Specify),,BB GUN,495631
Hands/Fists,,,495639
Feet,,,495639
Hands/Fists,,,495688
Hands/Fists,,,495688
Hands/Fists,,,495688
Hands/Fists,,,495688
Hands/Fists,,,495724
Hands/Fists,,,495724
Hands/Fists,,,495724
Hands/Fists,,,495724
Other (Specify),,REPLICA FIREARM PISTOL,495763
Hands/Fists,,,495763
Hands/Fists,,,495763
Feet,,,495763
Other (Specify),,REPLICA FIREARM,495780
Hands/Fists,,,495780
Hands/Fists,,,495780
Other (Specify),,TWO TONE REPLICA FIREARM,495804
Feet,,,495804
Hands/Fists,,,495804
Hands/Fists,,,495804
Firearm - Semi-Automatic,,,495810
Hands/Fists,,,498125
Hands/Fists,,,498216
Hands/Fists,,,498216
Hands/Fists,,,498216
Firearm - Semi-Automatic,,,499083
Firearm - Semi-Automatic,,,499656
Hands/Fists,,,500033
Hands/Fists,,,500033
Hands/Fists,,,500033
Hands/Fists,,,500639
Hands/Fists,,,500660
"Mouth (Spit,Bite,Etc)",,,500660
Hands/Fists,,,500677
"Mouth (Spit,Bite,Etc)",,,500677
Firearm - Semi-Automatic,,,500811
Firearm - Semi-Automatic,,,500823
Firearm - Semi-Automatic,,,501488
Firearm - Semi-Automatic,,,501614
Firearm - Semi-Automatic,,,501693
Hands/Fists,,,501693
Hands/Fists,,,501693
Hands/Fists,,,501734
Hands/Fists,,,501734
Hands/Fists,,,501734
Hands/Fists,,,501734
Hands/Fists,,,501737
Hands/Fists,,,501737
Hands/Fists,,,501737
Hands/Fists,,,501737
Firearm - Semi-Automatic,,,501748
Feet,,,501748
Hands/Fists,,,501976
Feet,,,501976
Hands/Fists,,,501976
Hands/Fists,,,501976
Hands/Fists,,,501978
Feet,,,501978
Hands/Fists,,,501978
Hands/Fists,,,501978
Hands/Fists,,,502227
Hands/Fists,,,502227
Hands/Fists,,,502227
Hands/Fists,,,502269
Hands/Fists,,,502269
Other (Specify),,WROUGHT IRON FENCE/ DOOR,502406
Hands/Fists,,,502468
Hands/Fists,,,502468
Hands/Fists,,,502604
Hands/Fists,,,502604
Hands/Fists,,,502604
Vehicle,,,502818
Vehicle,,,502832
Hands/Fists,,,503500
Hands/Fists,,,503528
Firearm - Semi-Automatic,,,503884
Firearm - Semi-Automatic,,,503900
Knife/Other Cutting Instrument,,,504920
Hands/Fists,,,505579
"Mouth (Spit,Bite,Etc)",,,505579
Hands/Fists,,,505579
"Mouth (Spit,Bite,Etc)",,,505695
Hands/Fists,,,505695
Hands/Fists,,,505695
Hands/Fists,,,506323
"Mouth (Spit,Bite,Etc)",,,506323
Hands/Fists,,,506323
Hands/Fists,,,506323
Hands/Fists,,,506323
Hands/Fists,,,506324
Hands/Fists,,,506324
"Mouth (Spit,Bite,Etc)",,,506324
Hands/Fists,,,506324
Hands/Fists,,,506324
Hands/Fists,,,506342
Hands/Fists,,,506342
Hands/Fists,,,506342
Hands/Fists,,,506342
Blunt Instrument,,,506363
Chemical Weapon,,,506709
Firearm - Revolver,,,506720
Hands/Fists,,,506720
Hands/Fists,,,506720
Hands/Fists,,,506720
Firearm - Semi-Automatic,,,507941
Firearm - Semi-Automatic,,,507965
Feet,,,507965
Firearm - Semi-Automatic,,,508020
Firearm - Semi-Automatic,,,508033
Firearm - Semi-Automatic,,,508064
Firearm - Semi-Automatic,,,508074
Firearm - Semi-Automatic,,,508183
Hands/Fists,,,508209
Feet,,,508263
Feet,,,508273
Hands/Fists,,,508458
Hands/Fists,,,508458
Hands/Fists,,,508459
Hands/Fists,,,508459
Knife/Other Cutting Instrument,,,508529
"Mouth (Spit,Bite,Etc)",,,508529
Hands/Fists,,,508529
"Mouth (Spit,Bite,Etc)",,,508577
Feet,,,508588
Firearm - Semi-Automatic,,,508860
Firearm - Semi-Automatic,,,508872
Hands/Fists,,,508888
Hands/Fists,,,508888
Hands/Fists,,,509141
"Mouth (Spit,Bite,Etc)",,,509141
Firearm - Semi-Automatic,,,510737
Firearm - Semi-Automatic,,,511561
Hands/Fists,,,511615
Hands/Fists,,,511615
Hands/Fists,,,511615
Hands/Fists,,,511618
Hands/Fists,,,511618
Hands/Fists,,,511618
Firearm - Semi-Automatic,,,511673
Firearm - Semi-Automatic,,,511677
Hands/Fists,,,511847
Hands/Fists,,,511847
Feet,,,511906
Hands/Fists,,,512436
Hands/Fists,,,512436
Other (Specify),,CELLPHONE,512720
Other (Specify),,CELL PHONE,512744
Hands/Fists,,,512917
Hands/Fists,,,512973
Other (Specify),,VASE,513286
Blunt Instrument,,,513512
Hands/Fists,,,513512
Hands/Fists,,,513512
Feet,,,513512
Hands/Fists,,,513512
Other (Specify),,TAN REPLICA BB GUN,513819
Other (Specify),,,514285
Hands/Fists,,,514678
Hands/Fists,,,514678
Hands/Fists,,,514700
Hands/Fists,,,514700
Firearm - Semi-Automatic,,,514760
Hands/Fists,,,515018
Hands/Fists,,,515018
Hands/Fists,,,515018
Hands/Fists,,,515021
Hands/Fists,,,515021
Hands/Fists,,,515021
Other (Specify),,HANDCUFFS,515045
Hands/Fists,,,515045
Hands/Fists,,,515045
Hands/Fists,,,515045
Feet,,,515045
Hands/Fists,,,515049
Hands/Fists,,,515049
Hands/Fists,,,515049
Other (Specify),,HAND-CUFFS,515071
Hands/Fists,,,515071
Hands/Fists,,,515071
Other (Specify),,HANDCUFFS,515073
Hands/Fists,,,515073
Hands/Fists,,,515073
Firearm - Semi-Automatic,,,515169
Hands/Fists,,,515570
Hands/Fists,,,515570
Firearm - Revolver,,,515989
Firearm - Semi-Automatic,,,515993
Firearm - Revolver,,,516004
Firearm - Revolver,,,516007
Firearm - Semi-Automatic,,,516017
Firearm - Revolver,,,516028
Firearm - Semi-Automatic,,,516030
Firearm - Revolver,,,516038
Firearm - Semi-Automatic,,,516071
Hands/Fists,,,516550
Hands/Fists,,,516550
Hands/Fists,,,516550
Hands/Fists,,,516593
Hands/Fists,,,516593
Hands/Fists,,,516738
"Mouth (Spit,Bite,Etc)",,,516745
"Mouth (Spit,Bite,Etc)",,,516749
Hands/Fists,,,516817
Hands/Fists,,,516817
Hands/Fists,,,516817
Hands/Fists,,,516817
Other (Specify),,,516817
Hands/Fists,,,516818
Hands/Fists,,,516818
Hands/Fists,,,516818
Other (Specify),,,516818
Hands/Fists,,,516872
Hands/Fists,,,516872
Hands/Fists,,,516872
Other (Specify),,,516872
Hands/Fists,,,516872
Hands/Fists,,,516878
Feet,,,516878
Firearm - Semi-Automatic,,,517094
"Mouth (Spit,Bite,Etc)",,,517094
Firearm - Semi-Automatic,,,517112
"Mouth (Spit,Bite,Etc)",,,517112
Hands/Fists,,,517456
Hands/Fists,,,517564
Hands/Fists,,,517564
Feet,,,518003
Hands/Fists,,,518003
Hands/Fists,,,518046
Hands/Fists,,,518046
Feet,,,518046
Hands/Fists,,,518649
Hands/Fists,,,518649
"Mouth (Spit,Bite,Etc)",,,518902
Feet,,,519081
Hands/Fists,,,519158
Hands/Fists,,,519585
Hands/Fists,,,519585
Hands/Fists,,,519585
Hands/Fists,,,519611
Hands/Fists,,,519611
Hands/Fists,,,519611
Firearm - Semi-Automatic,,,519630
Hands/Fists,,,520399
Hands/Fists,,,520451
Hands/Fists,,,520834
Feet,,,520834
Hands/Fists,,,520834
Hands/Fists,,,521217
Hands/Fists,,,521217
Hands/Fists,,,521293
Vehicle,,,521305
Vehicle,,,521307
Hands/Fists,,,521343
Hands/Fists,,,521382
"Mouth (Spit,Bite,Etc)",,,521382
Hands/Fists,,,521382
Hands/Fists,,,521382
Hands/Fists,,,521400
Hands/Fists,,,521400
Knife/Other Cutting Instrument,,,521434
Knife/Other Cutting Instrument,,,521436
Knife/Other Cutting Instrument,,,521445
Knife/Other Cutting Instrument,,,521461
Feet,,,522406
Feet,,,522618
Hands/Fists,,,522624
Hands/Fists,,,522624
Feet,,,522624
Hands/Fists,,,522624
Hands/Fists,,,522624
"Mouth (Spit,Bite,Etc)",,,522988
"Mouth (Spit,Bite,Etc)",,,523024
"Mouth (Spit,Bite,Etc)",,,523267
"Mouth (Spit,Bite,Etc)",,,523320
Hands/Fists,,,523548
Hands/Fists,,,523548
Feet,,,524710
Feet,,,525585
"Mouth (Spit,Bite,Etc)",,,526473
"Mouth (Spit,Bite,Etc)",,,526475
Vehicle,,,527531
Vehicle,,,527533
Firearm - Semi-Automatic,,,528195
Feet,,,528601
Hands/Fists,,,528601
Feet,,,528606
Hands/Fists,,,528606
Feet,,,528608
Hands/Fists,,,528608
Hands/Fists,,,529174
Firearm - Semi-Automatic,,,529182
Firearm - Semi-Automatic,,,529261
Firearm - Semi-Automatic,,,529267
Firearm - Semi-Automatic,,,529290
Firearm - Semi-Automatic,,,529342
Hands/Fists,,,530072
Hands/Fists,,,531162
Knife/Other Cutting Instrument,,,531523
Vehicle,,,531840
Hands/Fists,,,531871
Firearm - Semi-Automatic,,,533307
Hands/Fists,,,533945
Hands/Fists,,,533945
Hands/Fists,,,533976
Hands/Fists,,,534026
Hands/Fists,,,534026
Hands/Fists,,,534026
Blunt Instrument,,,534118
Hands/Fists,,,534118
Firearm - Revolver,,,534119
Blunt Instrument,,,534140
Hands/Fists,,,534140
Hands/Fists,,,534197
"Mouth (Spit,Bite,Etc)",,,534197
Hands/Fists,,,534219
"Mouth (Spit,Bite,Etc)",,,534219
Firearm - Semi-Automatic,,,534977
Feet,,,535227
Hands/Fists,,,535227
Firearm - Semi-Automatic,,,535231
Feet,,,535253
Feet,,,535272
Firearm - Semi-Automatic,,,535306
Hands/Fists,,,535331
"Mouth (Spit,Bite,Etc)",,,535333
Firearm - Semi-Automatic,,,535363
"Mouth (Spit,Bite,Etc)",,,535389
Firearm - Semi-Automatic,,,535417
Firearm - Semi-Automatic,,,535431
Firearm - Semi-Automatic,,,535440
Firearm - Semi-Automatic,,,535457
Firearm - Semi-Automatic,,,535461
Other (Specify),,BLACK NIKE AIR MAX SHOE,535463
Firearm - Semi-Automatic,,,535480
Hands/Fists,,,535860
Hands/Fists,,,535860
"Mouth (Spit,Bite,Etc)",,,536135
Hands/Fists,,,536509
Hands/Fists,,,536516
Hands/Fists,,,536516
"Mouth (Spit,Bite,Etc)",,,536567
Hands/Fists,,,536576
Other (Specify),,,536662
Hands/Fists,,,536662
Feet,,,536771
"Mouth (Spit,Bite,Etc)",,,536771
Hands/Fists,,,537224
Hands/Fists,,,537224
Other (Specify),,,537300
Other (Specify),,,537318
Feet,,,537354
Hands/Fists,,,537354
Firearm - Semi-Automatic,,,537434
Hands/Fists,,,537514
Firearm - Semi-Automatic,,,537526
Hands/Fists,,,537571
Hands/Fists,,,537571
Hands/Fists,,,537589
Hands/Fists,,,537589
Hands/Fists,,,537622
Hands/Fists,,,537622
"Mouth (Spit,Bite,Etc)",,,537745
Knife/Other Cutting Instrument,,,537902
Hands/Fists,,,538195
Hands/Fists,,,538202
Other (Specify),,,538202
Hands/Fists,,,538202
Hands/Fists,,,538276
Hands/Fists,,,538276
Other (Specify),,,538276
Hands/Fists,,,538402
Blunt Instrument,,,538417
Other (Specify),,,538464
Blunt Instrument,,,538477
Vehicle,,,539230
Hands/Fists,,,539413
Hands/Fists,,,539460
Hands/Fists,,,539460
Hands/Fists,,,539491
Hands/Fists,,,539531
Firearm - Semi-Automatic,,,539597
Firearm - Semi-Automatic,,,540225
"Mouth (Spit,Bite,Etc)",,,540225
Knife/Other Cutting Instrument,,,541232
Firearm - Semi-Automatic,,,541527
Firearm - Semi-Automatic,,,541543
Hands/Fists,,,542389
Hands/Fists,,,542696
Hands/Fists,,,542696
Hands/Fists,,,542696
Other (Specify),,,542696
Hands/Fists,,,542696
"Mouth (Spit,Bite,Etc)",,,543240
"Mouth (Spit,Bite,Etc)",,,544052
Hands/Fists,,,544108
Other (Specify),,,544169
Firearm - Semi-Automatic,,,545074
Firearm - Semi-Automatic,,,545075
Hands/Fists,,,545171
Hands/Fists,,,545171
Hands/Fists,,,545171
Hands/Fists,,,545177
Hands/Fists,,,545177
Hands/Fists,,,545177
Firearm - Revolver,,,545583
Hands/Fists,,,545960
Hands/Fists,,,545960
Hands/Fists,,,546291
Hands/Fists,,,546291
Hands/Fists,,,546291
Hands/Fists,,,546313
Feet,,,546313
Hands/Fists,,,546313
Hands/Fists,,,546314
Feet,,,546314
Hands/Fists,,,546314
Hands/Fists,,,546315
Feet,,,546315
Hands/Fists,,,546315
Hands/Fists,,,546503
Hands/Fists,,,546503
Hands/Fists,,,546512
Hands/Fists,,,546512
Hands/Fists,,,546512
Firearm - Semi-Automatic,,,547133
Hands/Fists,,,547987
Hands/Fists,,,547987
Hands/Fists,,,547987
Feet,,,548444
"Mouth (Spit,Bite,Etc)",,,548444
Other (Specify),,,548444
Feet,,,549113
Hands/Fists,,,549143
Firearm - Semi-Automatic,,,549838
Firearm - Semi-Automatic,,,549841
Firearm - Semi-Automatic,,,549851
Feet,,,549851
Hands/Fists,,,549851
Other (Specify),,,549851
Hands/Fists,,,549933
"Mouth (Spit,Bite,Etc)",,,549940
"Mouth (Spit,Bite,Etc)",,,549950
Hands/Fists,,,549950
Firearm - Semi-Automatic,,,550598
Feet,,,551031
"Mouth (Spit,Bite,Etc)",,,551031
Hands/Fists,,,551031
Hands/Fists,,,551031
Hands/Fists,,,551031
Other (Specify),,,551294
Feet,,,551294
Hands/Fists,,,551966
"Mouth (Spit,Bite,Etc)",,,551966
Hands/Fists,,,551966
Feet,,,551966
Other (Specify),,BRASS KNUCKLES AND KNIFE,551990
Hands/Fists,,,552414
Firearm - Semi-Automatic,,,552895
Hands/Fists,,,554696
Hands/Fists,,,554701
Hands/Fists,,,555429
Firearm - Semi-Automatic,,,555904
Firearm - Semi-Automatic,,,555911
Hands/Fists,,,556247
Hands/Fists,,,556340
Other (Specify),,BROKEN PIECE OF GLASS,556428
Other (Specify),,BROKEN PIECE OF GLASS,556429
Firearm - Semi-Automatic,,,556989
Hands/Fists,,,557154
Hands/Fists,,,557237
Hands/Fists,,,557250
Hands/Fists,,,557262
Hands/Fists,,,557262
"Mouth (Spit,Bite,Etc)",,,557782
Hands/Fists,,,557782
Hands/Fists,,,557926
Hands/Fists,,,558325
Hands/Fists,,,558325
Hands/Fists,,,558328
Hands/Fists,,,558468
Hands/Fists,,,558468
Hands/Fists,,,558468
Hands/Fists,,,558580
Hands/Fists,,,558580
Hands/Fists,,,558580
Blunt Instrument,,,558875
Blunt Instrument,,,558876
Hands/Fists,,,560097
Hands/Fists,,,560097
Hands/Fists,,,560106
Hands/Fists,,,560106
Hands/Fists,,,560128
Hands/Fists,,,560552
Hands/Fists,,,560552
Firearm - Semi-Automatic,,,561253
"Mouth (Spit,Bite,Etc)",,,561579
Hands/Fists,,,561579
Other (Specify),,,561579
"Mouth (Spit,Bite,Etc)",,,561917
Feet,,,561944
Hands/Fists,,,561965
Other (Specify),,,561965
Hands/Fists,,,562004
Feet,,,562004
Hands/Fists,,,562398
"Mouth (Spit,Bite,Etc)",,,562735
Hands/Fists,,,562735
Hands/Fists,,,562759
Hands/Fists,,,562913
Hands/Fists,,,562913
"Mouth (Spit,Bite,Etc)",,,562913
Hands/Fists,,,562913
Hands/Fists,,,562916
Hands/Fists,,,562916
Hands/Fists,,,562916
"Mouth (Spit,Bite,Etc)",,,562916
Hands/Fists,,,562916
Feet,,,563284
"Mouth (Spit,Bite,Etc)",,,563284
Hands/Fists,,,563284
Hands/Fists,,,563284
"Mouth (Spit,Bite,Etc)",,,563388
Hands/Fists,,,563388
Other (Specify),,,563388
Hands/Fists,,,563449
Hands/Fists,,,563464
Other (Specify),,BEADED CHAIN,563475
Hands/Fists,,,563477
Hands/Fists,,,563477
Hands/Fists,,,563517
Hands/Fists,,,563670
Feet,,,563670
Hands/Fists,,,563670
Hands/Fists,,,563670
Hands/Fists,,,563670
Hands/Fists,,,564521
Hands/Fists,,,564521
Hands/Fists,,,564521
"Mouth (Spit,Bite,Etc)",,,564589
"Mouth (Spit,Bite,Etc)",,,564641
Hands/Fists,,,564641
Firearm - Semi-Automatic,,,565264
Firearm - Semi-Automatic,,,565303
Firearm - Semi-Automatic,,,565443
Feet,,,565443
Hands/Fists,,,565443
Hands/Fists,,,565443
Firearm - Semi-Automatic,,,565444
Hands/Fists,,,565444
Hands/Fists,,,565444
Hands/Fists,,,565444
Feet,,,565505
Firearm - Semi-Automatic,,,565753
Hands/Fists,,,565753
Hands/Fists,,,565753
Hands/Fists,,,566384
Knife/Other Cutting Instrument,,,567525
Chemical Weapon,,,567537
Firearm - Semi-Automatic,,,567810
Firearm - Semi-Automatic,,,567813
Other (Specify),,,568036
"Mouth (Spit,Bite,Etc)",,,568165
"Mouth (Spit,Bite,Etc)",,,568570
Hands/Fists,,,569450
Firearm - Revolver,,,569507
Firearm - Revolver,,,569540
Firearm - Revolver,,,569542
Firearm - Revolver,,,569552
Vehicle,,,569947
Hands/Fists,,,570454
Knife/Other Cutting Instrument,,,570565
Hands/Fists,,,571066
Other (Specify),,,571066
Hands/Fists,,,571068
Hands/Fists,,,571068
"Mouth (Spit,Bite,Etc)",,,571331
Hands/Fists,,,571331
"Mouth (Spit,Bite,Etc)",,,571408
Other (Specify),,,571584
Firearm - Revolver,,,572333
Firearm - Revolver,,,572341
Hands/Fists,,,572447
Firearm - Semi-Automatic,,,572494
Hands/Fists,,,572575
Feet,,,572575
Hands/Fists,,,572575
Hands/Fists,,,572575
Firearm - Semi-Automatic,,,572606
Feet,,,572657
Blunt Instrument,,,572672
Hands/Fists,,,572672
Hands/Fists,,,572672
Firearm - Semi-Automatic,,,572692
Blunt Instrument,,,572733
Hands/Fists,,,572733
"Mouth (Spit,Bite,Etc)",,,572733
Hands/Fists,,,572733
Firearm - Semi-Automatic,,,572743
"Mouth (Spit,Bite,Etc)",,,572760
Hands/Fists,,,572777
Hands/Fists,,,572777
Hands/Fists,,,572777
Feet,,,572794
Firearm - Semi-Automatic,,,573382
Firearm - Semi-Automatic,,,573412
Firearm - Semi-Automatic,,,573416
Hands/Fists,,,573454
Firearm - Semi-Automatic,,,573492
Firearm - Semi-Automatic,,,573510
Other (Specify),,,573707
Other (Specify),,,575304
Hands/Fists,,,575304
Hands/Fists,,,575304
Hands/Fists,,,575304
Hands/Fists,,,575325
Hands/Fists,,,575325
Hands/Fists,,,575325
Other (Specify),,,575325
Firearm - Semi-Automatic,,,575345
Firearm - Semi-Automatic,,,575352
Hands/Fists,,,575433
Hands/Fists,,,575672
Hands/Fists,,,575875
Hands/Fists,,,575875
Hands/Fists,,,575875
Feet,,,576053
Hands/Fists,,,576229
Hands/Fists,,,576229
Hands/Fists,,,576229
Firearm - Semi-Automatic,,,576256
Hands/Fists,,,576932
Hands/Fists,,,577432
Feet,,,577432
Hands/Fists,,,577432
"Mouth (Spit,Bite,Etc)",,,577432
Firearm - Semi-Automatic,,,577559
Hands/Fists,,,577559
Hands/Fists,,,577559
Firearm - Semi-Automatic,,,577604
Hands/Fists,,,577612
Firearm - Semi-Automatic,,,577634
Firearm - Semi-Automatic,,,577635
Firearm - Semi-Automatic,,,577637
Feet,,,577777
Hands/Fists,,,577981
Hands/Fists,,,578076
Hands/Fists,,,578589
Hands/Fists,,,578589
Hands/Fists,,,578618
Hands/Fists,,,578624
Blunt Instrument,,,579111
Firearm - Semi-Automatic,,,579243
Feet,,,579335
Firearm - Semi-Automatic,,,579340
Firearm - Semi-Automatic,,,579382
Hands/Fists,,,579382
Hands/Fists,,,579582
Hands/Fists,,,579582
Hands/Fists,,,579595
Hands/Fists,,,579781
Hands/Fists,,,579783
Firearm - Semi-Automatic,,,579784
Feet,,,579791
Firearm - Semi-Automatic,,,579792
Hands/Fists,,,579928
"Mouth (Spit,Bite,Etc)",,,579928
Firearm - Semi-Automatic,,,580609
Firearm - Semi-Automatic,,,580619
Vehicle,,,580713
Other (Specify),,,581398
Hands/Fists,,,581520
Hands/Fists,,,581757
Hands/Fists,,,581757
Firearm - Semi-Automatic,,,582624
Firearm - Semi-Automatic,,,582626
Firearm - Semi-Automatic,,,582629
Other (Specify),,,582665
Hands/Fists,,,582828
Firearm - Semi-Automatic,,,583253
Firearm - Semi-Automatic,,,583259
Hands/Fists,,,583259
Hands/Fists,,,583259
Hands/Fists,,,583259
Firearm - Semi-Automatic,,,583269
Hands/Fists,,,583319
Hands/Fists,,,583319
Hands/Fists,,,583370
Hands/Fists,,,583482
Hands/Fists,,,583488
Hands/Fists,,,583493
Hands/Fists,,,583540
Hands/Fists,,,583540
Hands/Fists,,,583540
Hands/Fists,,,583540
Hands/Fists,,,583937
"Mouth (Spit,Bite,Etc)",,,584105
Hands/Fists,,,584294
Hands/Fists,,,584871
Hands/Fists,,,584871
Feet,,,585090
Other (Specify),,,585090
Hands/Fists,,,585099
Hands/Fists,,,585372
Hands/Fists,,,585372
Hands/Fists,,,585380
Other (Specify),,,585715
Hands/Fists,,,586349
Hands/Fists,,,586443
Hands/Fists,,,586443
Feet,,,586443
Hands/Fists,,,586443
Hands/Fists,,,586489
Hands/Fists,,,586489
Hands/Fists,,,586489
Feet,,,586489
Hands/Fists,,,586983
Hands/Fists,,,587178
Hands/Fists,,,587178
Hands/Fists,,,587182
Hands/Fists,,,587182
Hands/Fists,,,587498
Hands/Fists,,,587500
Hands/Fists,,,587501
Hands/Fists,,,587504
Feet,,,587539
Other (Specify),,,589063
"Mouth (Spit,Bite,Etc)",,,589063
"Mouth (Spit,Bite,Etc)",,,589100
Firearm - Semi-Automatic,,,589253
Hands/Fists,,,589518
Hands/Fists,,,589518
"Mouth (Spit,Bite,Etc)",,,589518
Hands/Fists,,,589518
Hands/Fists,,,589538
Hands/Fists,,,589543
Hands/Fists,,,589543
Hands/Fists,,,589543
Hands/Fists,,,589544
Hands/Fists,,,589544
Hands/Fists,,,589693
Knife/Other Cutting Instrument,,,589891
Hands/Fists,,,590332
Other (Specify),,,590332
"Mouth (Spit,Bite,Etc)",,,590646
Hands/Fists,,,592008
Hands/Fists,,,592008
Feet,,,592008
Hands/Fists,,,592008
Hands/Fists,,,592797
Hands/Fists,,,593496
Feet,,,593735
Hands/Fists,,,593735
Hands/Fists,,,593735
Other (Specify),,,593735
Hands/Fists,,,593768
Feet,,,593768
Hands/Fists,,,593768
Other (Specify),,,593768
Feet,,,593781
Hands/Fists,,,593781
Hands/Fists,,,593781
Other (Specify),,,593781
Feet,,,593787
Hands/Fists,,,593787
Hands/Fists,,,593787
Other (Specify),,,593787
Blunt Instrument,,,594064
"Mouth (Spit,Bite,Etc)",,,594064
Hands/Fists,,,594083
Hands/Fists,,,594419
Hands/Fists,,,594435
Hands/Fists,,,594435
Feet,,,594435
Hands/Fists,,,594435
"Mouth (Spit,Bite,Etc)",,,594435
Hands/Fists,,,594435
Other (Specify),,BOTTLE,594901
Hands/Fists,,,594901
Hands/Fists,,,594901
Feet,,,594901
Hands/Fists,,,594901
"Mouth (Spit,Bite,Etc)",,,594901
Hands/Fists,,,594901
Hands/Fists,,,595381
Hands/Fists,,,595381
Feet,,,595381
Hands/Fists,,,595381
Feet,,,595412
Hands/Fists,,,595412
Hands/Fists,,,595412
Hands/Fists,,,595412
Hands/Fists,,,595412
Hands/Fists,,,595535
Hands/Fists,,,595566
Hands/Fists,,,595566
"Mouth (Spit,Bite,Etc)",,,595566
Hands/Fists,,,595582
Feet,,,595582
"Mouth (Spit,Bite,Etc)",,,595582
Hands/Fists,,,595582
Hands/Fists,,,595582
"Mouth (Spit,Bite,Etc)",,,595622
Firearm - Revolver,,,595623
Hands/Fists,,,595623
Hands/Fists,,,595678
Hands/Fists,,,595752
Hands/Fists,,,595752
Hands/Fists,,,595764
"Mouth (Spit,Bite,Etc)",,,595764
Hands/Fists,,,595764
Other (Specify),,GLASS BOTTLE,595771
Other (Specify),,GLASS BOTTLE,595815
Feet,,,595822
